"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 01 01:51:03 UTC 2026","Thu Jan 01 01:51:05 UTC 2026","1306","Ecommerce Project","Run on chrome","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","Account_Address_01","Account_Address_01",""
"broken","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","0","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_AddAddress","com.ecommerce.account.Account_AddAddress","beforeClass","beforeClass",""
"passed","Thu Jan 01 01:50:50 UTC 2026","Thu Jan 01 01:50:59 UTC 2026","9588","Ecommerce Project","Run on chrome","com.ecommerce.account.Account_AddAddress","com.ecommerce.account.Account_AddAddress","AccountDashboard_01","AccountDashboard_01",""
"broken","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","0","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","beforeClass","beforeClass",""
"skipped","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","1","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_ChangePassword","com.ecommerce.account.Account_ChangePassword","AccountDashboard_01","AccountDashboard_01",""
"passed","Thu Jan 01 01:53:28 UTC 2026","Thu Jan 01 01:53:30 UTC 2026","1207","Ecommerce Project","Run on firefox","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","DeleteAddressBook","DeleteAddressBook",""
"passed","Thu Jan 01 01:51:18 UTC 2026","Thu Jan 01 01:51:20 UTC 2026","2349","Ecommerce Project","Run on chrome","com.ecommerce.account.Account_MyVoucher","com.ecommerce.account.Account_MyVoucher","Account_MyVoucher_01_Open","Account_MyVoucher_01_Open",""
"passed","Thu Jan 01 01:49:55 UTC 2026","Thu Jan 01 01:49:58 UTC 2026","3036","Ecommerce Project","Run on chrome","com.ecommerce.login.TC_02_User_Login","com.ecommerce.login.TC_02_User_Login","TC_01_Login","TC_01_Login",""
"passed","Thu Jan 01 01:52:03 UTC 2026","Thu Jan 01 01:52:07 UTC 2026","4352","Ecommerce Project","Run on chrome","com.ecommerce.product.Shopping_Cart","com.ecommerce.product.Shopping_Cart","Edit_Checkout_Cart_02","Edit_Checkout_Cart_02",""
"skipped","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","1","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","DeleteAddressBook","DeleteAddressBook",""
"broken","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","0","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_ChangePassword","com.ecommerce.account.Account_ChangePassword","beforeClass","beforeClass",""
"passed","Thu Jan 01 01:50:41 UTC 2026","Thu Jan 01 01:50:45 UTC 2026","4010","Ecommerce Project","Run on chrome","com.ecommerce.account.Account_ChangePassword","com.ecommerce.account.Account_ChangePassword","AccountDashboard_01","AccountDashboard_01",""
"skipped","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","0","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_EditMyAccount","com.ecommerce.account.Account_EditMyAccount","AccountDashboard_01","AccountDashboard_01",""
"passed","Thu Jan 01 01:51:05 UTC 2026","Thu Jan 01 01:51:06 UTC 2026","1250","Ecommerce Project","Run on chrome","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","DeleteAddressBook","DeleteAddressBook",""
"passed","Thu Jan 01 01:51:33 UTC 2026","Thu Jan 01 01:52:03 UTC 2026","30033","Ecommerce Project","Run on chrome","com.ecommerce.product.Shopping_Cart","com.ecommerce.product.Shopping_Cart","Cart_Add_01","Cart_Add_01",""
